fund_name,sales_start,operation_start,operation_end,actual_end,target_amount,subscribed_amount,annual_yield,distribution_frequency,redemption_status,source_url,source_date,confidence,notes
宗右衛門町,,2024-12-16,2025-12-15,,20000000000,,0.1,unknown,運用中,https://www.minnadeooyasan.com/fund_list/soemoncho01/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
ファーム7号,,2024-07-01,2027-07-31,,2400000000,,0.071,bimonthly,運用中,https://www.minnadeooyasan.com/fund_list/farm7/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
成田18号,,2024-05-01,2029-04-30,,15368000000,,0.07,bimonthly,運用中,https://www.minnadeooyasan.com/fund_list/narita18/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
伊勢8,,2024-04-01,2027-04-30,,2000000000,,0.07,bimonthly,運用中,https://www.minnadeooyasan.com/fund_list/ise8/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
成田17号,,2024-02-01,2029-01-31,,14808000000,,0.07,bimonthly,運用中,https://www.minnadeooyasan.com/fund_list/narita17/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
49号,,2023-12-01,2027-05-31,,312000000,,0.062,bimonthly,運用中,https://www.minnadeooyasan.com/fund_list/49/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
成田16号,,2023-11-01,2028-10-31,,29060000000,,0.07,bimonthly,運用中,https://www.minnadeooyasan.com/fund_list/narita16/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
成田15号,,2023-06-01,2028-05-31,,27900000000,,0.07,bimonthly,運用中,https://www.minnadeooyasan.com/fund_list/narita15/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
伊勢7,,2023-05-01,2026-05-31,,3000000000,,0.07,bimonthly,運用中,https://www.minnadeooyasan.com/fund_list/ise7/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
成田14号,,2023-03-01,2028-02-29,,25372000000,,0.07,bimonthly,運用中,https://www.minnadeooyasan.com/fund_list/narita14/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
48号,,2023-01-01,2025-12-31,,1600000000,,0.06,bimonthly,運用中,https://www.minnadeooyasan.com/fund_list/48/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
成田13号,,2022-12-01,2027-11-30,,24336000000,,0.07,bimonthly,運用中,https://www.minnadeooyasan.com/fund_list/narita13/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
成田12号,,2022-09-01,2027-08-31,,15212000000,,0.07,bimonthly,運用中,https://www.minnadeooyasan.com/fund_list/narita12/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
成田11号,,2022-06-01,2027-05-31,,8936000000,,0.07,bimonthly,運用中,https://www.minnadeooyasan.com/fund_list/narita11/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
ファーム6号,,2022-02-01,2025-01-31,,1800000000,,0.07,unknown,不明,https://www.minnadeooyasan.com/fund_list/farm6/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
成田10号,,2022-04-01,2027-04-30,,5272000000,,0.07,bimonthly,運用中,https://www.minnadeooyasan.com/fund_list/narita10/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
成田9号,,2022-02-01,2027-01-31,,5072000000,,0.07,bimonthly,運用中,https://www.minnadeooyasan.com/fund_list/narita9/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
伊勢6,,2021-10-01,2024-09-30,,2000000000,,0.07,unknown,不明,https://www.minnadeooyasan.com/fund_list/ise6/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
成田8号,,2021-12-01,2026-12-31,,4524000000,,0.07,bimonthly,運用中,https://www.minnadeooyasan.com/fund_list/narita8/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
47号,,2021-09-01,2024-08-31,,2800000000,,0.07,unknown,不明,https://www.minnadeooyasan.com/fund_list/47/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
ファーム5号,,2021-09-01,2024-08-31,,4000000000,,0.07,unknown,不明,https://www.minnadeooyasan.com/fund_list/farm5/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
成田7号,,2021-11-01,2026-11-30,,3120000000,,0.07,bimonthly,運用中,https://www.minnadeooyasan.com/fund_list/narita7/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
成田6号,,2021-09-01,2026-08-31,,4588000000,,0.07,bimonthly,運用中,https://www.minnadeooyasan.com/fund_list/narita6/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
成田5号,,2021-08-01,2026-07-31,,2604000000,,0.07,bimonthly,運用中,https://www.minnadeooyasan.com/fund_list/narita5/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
ファーム4号,,2021-05-01,2024-04-30,,2400000000,,0.071,unknown,不明,https://www.minnadeooyasan.com/fund_list/farm4/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
成田4号,,2021-06-01,2026-06-30,,3692000000,,0.07,bimonthly,運用中,https://www.minnadeooyasan.com/fund_list/narita4/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
