month,new_investment,distribution,redemption,cash_balance,required_new_money,outstanding_principal,narita_outstanding_principal,other_outstanding_principal,annual_distribution_burden,narita_annual_distribution_burden,other_annual_distribution_burden,monthly_distribution_burden,coverage_ratio,psr
2014-01-01,312000000,1612000,0,310388000,1612000,312000000,0,312000000,19344000,0,19344000,1612000,0.9948,193.548
2014-02-01,500000000,4195333,0,806192667,0,812000000,0,812000000,50344000,0,50344000,4195333,0.9928,119.18
2014-03-01,0,4195333,0,801997333,0,812000000,0,812000000,50344000,0,50344000,4195333,0.9877,0.0
2014-04-01,580000000,7095333,0,1374902000,0,1392000000,0,1392000000,85144000,0,85144000,7095333,0.9877,81.744
2014-05-01,0,7095333,0,1367806667,0,1392000000,0,1392000000,85144000,0,85144000,7095333,0.9826,0.0
2014-06-01,2320000000,18695333,0,3669111333,0,3712000000,0,3712000000,224344000,0,224344000,18695333,0.9884,124.095
2014-07-01,0,18695333,0,3650416000,0,3712000000,0,3712000000,224344000,0,224344000,18695333,0.9834,0.0
2014-08-01,0,18695333,0,3631720667,0,3712000000,0,3712000000,224344000,0,224344000,18695333,0.9784,0.0
2014-09-01,0,18695333,0,3613025333,0,3712000000,0,3712000000,224344000,0,224344000,18695333,0.9733,0.0
2014-10-01,0,18695333,0,3594330000,0,3712000000,0,3712000000,224344000,0,224344000,18695333,0.9683,0.0
2014-11-01,0,18695333,0,3575634667,0,3712000000,0,3712000000,224344000,0,224344000,18695333,0.9633,0.0
2014-12-01,4664000000,44348667,0,8195286000,0,8376000000,0,8376000000,532184000,0,532184000,44348667,0.9784,105.167
2015-01-01,0,44348667,0,8150937333,0,8376000000,0,8376000000,532184000,0,532184000,44348667,0.9731,0.0
2015-02-01,0,44348667,0,8106588667,0,8376000000,0,8376000000,532184000,0,532184000,44348667,0.9678,0.0
2015-03-01,0,44348667,0,8062240000,0,8376000000,0,8376000000,532184000,0,532184000,44348667,0.9625,0.0
2015-04-01,0,44348667,0,8017891333,0,8376000000,0,8376000000,532184000,0,532184000,44348667,0.9572,0.0
2015-05-01,0,44348667,0,7973542667,0,8376000000,0,8376000000,532184000,0,532184000,44348667,0.952,0.0
2015-06-01,0,44348667,0,7929194000,0,8376000000,0,8376000000,532184000,0,532184000,44348667,0.9467,0.0
2015-07-01,0,44348667,0,7884845333,0,8376000000,0,8376000000,532184000,0,532184000,44348667,0.9414,0.0
2015-08-01,0,44348667,0,7840496667,0,8376000000,0,8376000000,532184000,0,532184000,44348667,0.9361,0.0
2015-09-01,436000000,46565000,0,8229931667,0,8812000000,0,8812000000,558780000,0,558780000,46565000,0.9339,9.363
2015-10-01,0,46565000,0,8183366667,0,8812000000,0,8812000000,558780000,0,558780000,46565000,0.9287,0.0
2015-11-01,0,46565000,0,8136801667,0,8812000000,0,8812000000,558780000,0,558780000,46565000,0.9234,0.0
2015-12-01,424000000,48720333,0,8512081333,0,9236000000,0,9236000000,584644000,0,584644000,48720333,0.9216,8.703
2016-01-01,620000000,52078667,0,9080002667,0,9856000000,0,9856000000,624944000,0,624944000,52078667,0.9213,11.905
2016-02-01,0,52078667,0,9027924000,0,9856000000,0,9856000000,624944000,0,624944000,52078667,0.916,0.0
2016-03-01,0,52078667,0,8975845333,0,9856000000,0,9856000000,624944000,0,624944000,52078667,0.9107,0.0
2016-04-01,424000000,54234000,0,9345611333,0,10280000000,0,10280000000,650808000,0,650808000,54234000,0.9091,7.818
2016-05-01,0,54234000,0,9291377333,0,10280000000,0,10280000000,650808000,0,650808000,54234000,0.9038,0.0
2016-06-01,0,54234000,0,9237143333,0,10280000000,0,10280000000,650808000,0,650808000,54234000,0.8986,0.0
2016-07-01,0,54234000,0,9182909333,0,10280000000,0,10280000000,650808000,0,650808000,54234000,0.8933,0.0
2016-08-01,2500000000,67109000,0,11615800333,0,12780000000,0,12780000000,805308000,0,805308000,67109000,0.9089,37.253
2016-09-01,0,67109000,0,11548691333,0,12780000000,0,12780000000,805308000,0,805308000,67109000,0.9037,0.0
2016-10-01,160000000,67909000,0,11640782333,0,12940000000,0,12940000000,814908000,0,814908000,67909000,0.8996,2.356
2016-11-01,0,67909000,0,11572873333,0,12940000000,0,12940000000,814908000,0,814908000,67909000,0.8943,0.0
2016-12-01,0,67909000,0,11504964333,0,12940000000,0,12940000000,814908000,0,814908000,67909000,0.8891,0.0
2017-01-01,0,67909000,312000000,11125055333,0,12940000000,0,12940000000,814908000,0,814908000,67909000,0.8597,0.0
2017-02-01,3000000000,83797000,500000000,13541258333,0,15628000000,0,15628000000,1005564000,0,1005564000,83797000,0.8665,5.139
2017-03-01,312000000,82825667,580000000,13190432667,0,15440000000,0,15440000000,993908000,0,993908000,82825667,0.8543,0.471
2017-04-01,500000000,82509000,0,13607923667,0,15360000000,0,15360000000,990108000,0,990108000,82509000,0.8859,6.06
2017-05-01,0,82509000,2320000000,11205414667,0,15360000000,0,15360000000,990108000,0,990108000,82509000,0.7295,0.0
2017-06-01,2800000000,87242333,0,13918172333,0,15840000000,0,15840000000,1046908000,0,1046908000,87242333,0.8787,32.095
2017-07-01,0,87242333,0,13830930000,0,15840000000,0,15840000000,1046908000,0,1046908000,87242333,0.8732,0.0
2017-08-01,2000000000,98909000,0,15732021000,0,17840000000,0,17840000000,1186908000,0,1186908000,98909000,0.8818,20.221
2017-09-01,0,98909000,0,15633112000,0,17840000000,0,17840000000,1186908000,0,1186908000,98909000,0.8763,0.0
2017-10-01,0,98909000,0,15534203000,0,17840000000,0,17840000000,1186908000,0,1186908000,98909000,0.8708,0.0
2017-11-01,0,98909000,4664000000,10771294000,0,17840000000,0,17840000000,1186908000,0,1186908000,98909000,0.6038,0.0
2017-12-01,2000000000,84922333,0,12686371667,0,15176000000,0,15176000000,1019068000,0,1019068000,84922333,0.8359,23.551
2018-01-01,0,84922333,0,12601449333,0,15176000000,0,15176000000,1019068000,0,1019068000,84922333,0.8304,0.0
2018-02-01,0,84922333,0,12516527000,0,15176000000,0,15176000000,1019068000,0,1019068000,84922333,0.8248,0.0
2018-03-01,2400000000,99122333,0,14817404667,0,17576000000,0,17576000000,1189468000,0,1189468000,99122333,0.843,24.213
2018-04-01,0,99122333,0,14718282333,0,17576000000,0,17576000000,1189468000,0,1189468000,99122333,0.8374,0.0
2018-05-01,0,99122333,0,14619160000,0,17576000000,0,17576000000,1189468000,0,1189468000,99122333,0.8318,0.0
2018-06-01,0,99122333,0,14520037667,0,17576000000,0,17576000000,1189468000,0,1189468000,99122333,0.8261,0.0
2018-07-01,4000000000,122455667,0,18397582000,0,21576000000,0,21576000000,1469468000,0,1469468000,122455667,0.8527,32.665
2018-08-01,0,122455667,436000000,17839126333,0,21576000000,0,21576000000,1469468000,0,1469468000,122455667,0.8268,0.0
2018-09-01,0,120239333,0,17718887000,0,21140000000,0,21140000000,1442872000,0,1442872000,120239333,0.8382,0.0
2018-10-01,0,120239333,0,17598647667,0,21140000000,0,21140000000,1442872000,0,1442872000,120239333,0.8325,0.0
2018-11-01,0,120239333,424000000,17054408333,0,21140000000,0,21140000000,1442872000,0,1442872000,120239333,0.8067,0.0
2018-12-01,1800000000,128584000,620000000,18105824333,0,22516000000,0,22516000000,1543008000,0,1543008000,128584000,0.8041,2.405
2019-01-01,0,125225667,0,17980598667,0,21896000000,0,21896000000,1502708000,0,1502708000,125225667,0.8212,0.0
2019-02-01,2908000000,141930667,0,20746668000,0,24804000000,0,24804000000,1703168000,0,1703168000,141930667,0.8364,20.489
2019-03-01,0,141930667,424000000,20180737333,0,24804000000,0,24804000000,1703168000,0,1703168000,141930667,0.8136,0.0
2019-04-01,0,139775333,0,20040962000,0,24380000000,0,24380000000,1677304000,0,1677304000,139775333,0.822,0.0
2019-05-01,2288000000,153122000,0,22175840000,0,26668000000,0,26668000000,1837464000,0,1837464000,153122000,0.8316,14.942
2019-06-01,0,153122000,0,22022718000,0,26668000000,0,26668000000,1837464000,0,1837464000,153122000,0.8258,0.0
2019-07-01,0,153122000,2500000000,19369596000,0,26668000000,0,26668000000,1837464000,0,1837464000,153122000,0.7263,0.0
2019-08-01,0,140247000,0,19229349000,0,24168000000,0,24168000000,1682964000,0,1682964000,140247000,0.7957,0.0
2019-09-01,3188000000,157992000,0,22259357000,0,27356000000,0,27356000000,1895904000,0,1895904000,157992000,0.8137,20.178
2019-10-01,3888000000,179338667,160000000,25808018333,0,31244000000,0,31244000000,2152064000,0,2152064000,179338667,0.826,11.458
2019-11-01,0,178538667,0,25629479667,0,31084000000,0,31084000000,2142464000,0,2142464000,178538667,0.8245,0.0
2019-12-01,2288000000,191885333,0,27725594333,0,33372000000,0,33372000000,2302624000,0,2302624000,191885333,0.8308,11.924
2020-01-01,0,191885333,3000000000,24533709000,0,33372000000,0,33372000000,2302624000,0,2302624000,191885333,0.7352,0.0
2020-02-01,0,174385333,312000000,24047323667,0,30372000000,0,30372000000,2092624000,0,2092624000,174385333,0.7918,0.0
2020-03-01,5288000000,203620000,500000000,28631703667,0,35348000000,0,35348000000,2443440000,0,2443440000,203620000,0.81,7.515
2020-04-01,312000000,202648667,0,28741055000,0,35160000000,0,35160000000,2431784000,0,2431784000,202648667,0.8174,1.54
2020-05-01,2288000000,215995333,2800000000,28013059667,0,37448000000,0,37448000000,2591944000,0,2591944000,215995333,0.7481,0.759
2020-06-01,0,199662000,0,27813397667,0,34648000000,0,34648000000,2395944000,0,2395944000,199662000,0.8027,0.0
